# Intensity Error [H,0,0] DeltaE
#  shape: 140x100
3.484323e-05 7.265558e-06 3.225000e+00 6.425000e+01
3.277155e-05 6.987086e-06 3.225000e+00 6.475000e+01
2.912979e-05 6.513843e-06 3.225000e+00 6.525000e+01
3.235255e-05 7.060094e-06 3.225000e+00 6.575000e+01
2.976456e-05 6.828624e-06 3.225000e+00 6.625000e+01
3.159207e-05 6.894190e-06 3.225000e+00 6.675000e+01
1.853702e-05 5.351217e-06 3.225000e+00 6.725000e+01
2.941257e-05 6.932757e-06 3.225000e+00 6.775000e+01
3.168454e-05 7.085000e-06 3.225000e+00 6.825000e+01
3.488899e-05 7.438520e-06 3.225000e+00 6.875000e+01
4.656217e-05 8.961061e-06 3.225000e+00 6.925000e+01
3.274641e-05 7.322468e-06 3.225000e+00 6.975000e+01
4.013662e-05 8.192964e-06 3.225000e+00 7.025000e+01
3.582436e-05 8.010743e-06 3.225000e+00 7.075000e+01
3.369690e-05 7.535011e-06 3.225000e+00 7.125000e+01
2.616803e-05 6.993801e-06 3.225000e+00 7.175000e+01
2.910389e-05 7.276105e-06 3.225000e+00 7.225000e+01
5.392940e-05 1.019196e-05 3.225000e+00 7.275000e+01
4.424028e-05 9.432289e-06 3.225000e+00 7.325000e+01
2.907774e-05 7.771409e-06 3.225000e+00 7.375000e+01
4.502863e-05 1.006901e-05 3.225000e+00 7.425000e+01
2.999366e-05 8.318922e-06 3.225000e+00 7.475000e+01
3.637486e-05 9.392089e-06 3.225000e+00 7.525000e+01
3.178534e-05 8.815906e-06 3.225000e+00 7.575000e+01
3.455773e-05 9.236123e-06 3.225000e+00 7.625000e+01
3.002169e-05 8.666613e-06 3.225000e+00 7.675000e+01
2.170659e-05 7.235727e-06 3.225000e+00 7.725000e+01
2.054834e-05 6.849525e-06 3.225000e+00 7.775000e+01
2.345119e-05 7.071033e-06 3.225000e+00 7.825000e+01
2.272777e-05 6.561051e-06 3.225000e+00 7.875000e+01
2.778425e-05 6.738845e-06 3.225000e+00 7.925000e+01
2.663714e-05 6.111106e-06 3.225000e+00 7.975000e+01
2.840923e-05 6.056989e-06 3.225000e+00 8.025000e+01
2.781065e-05 5.929337e-06 3.225000e+00 8.075000e+01
2.885526e-05 6.016853e-06 3.225000e+00 8.125000e+01
1.959110e-05 4.897822e-06 3.225000e+00 8.175000e+01
1.765838e-05 4.559446e-06 3.225000e+00 8.225000e+01
2.499889e-05 5.212720e-06 3.225000e+00 8.275000e+01
1.493614e-05 3.856525e-06 3.225000e+00 8.325000e+01
3.030574e-05 5.357421e-06 3.225000e+00 8.375000e+01
1.802448e-05 4.135141e-06 3.225000e+00 8.425000e+01
2.197701e-05 4.582572e-06 3.225000e+00 8.475000e+01
