# Intensity Error [H,0,0] DeltaE
#  shape: 140x100
2.237974e-05 6.460597e-06 3.125000e+00 8.075000e+01
1.929502e-05 6.101658e-06 3.125000e+00 8.125000e+01
2.812013e-05 7.515460e-06 3.125000e+00 8.175000e+01
6.303382e-06 3.639261e-06 3.125000e+00 8.225000e+01
1.124659e-05 5.029640e-06 3.125000e+00 8.275000e+01
2.879264e-05 8.311759e-06 3.125000e+00 8.325000e+01
1.799207e-05 6.800379e-06 3.125000e+00 8.375000e+01
2.185724e-05 7.727709e-06 3.125000e+00 8.425000e+01
1.245572e-05 6.227863e-06 3.125000e+00 8.475000e+01
1.729325e-05 8.646637e-06 3.125000e+00 8.525000e+01
2.891743e-05 1.669549e-05 3.125000e+00 8.575000e+01
0.000000e+00 0.000000e+00 3.125000e+00 8.625000e+01
0.000000e+00 0.000000e+00 3.125000e+00 8.675000e+01
nan nan 3.125000e+00 8.725000e+01
nan nan 3.125000e+00 8.775000e+01
nan nan 3.125000e+00 8.825000e+01
nan nan 3.125000e+00 8.875000e+01
nan nan 3.125000e+00 8.925000e+01
nan nan 3.125000e+00 8.975000e+01
nan nan 3.125000e+00 9.025000e+01
nan nan 3.125000e+00 9.075000e+01
nan nan 3.125000e+00 9.125000e+01
nan nan 3.125000e+00 9.175000e+01
nan nan 3.125000e+00 9.225000e+01
nan nan 3.125000e+00 9.275000e+01
nan nan 3.125000e+00 9.325000e+01
nan nan 3.125000e+00 9.375000e+01
nan nan 3.125000e+00 9.425000e+01
nan nan 3.125000e+00 9.475000e+01
nan nan 3.125000e+00 9.525000e+01
nan nan 3.125000e+00 9.575000e+01
nan nan 3.125000e+00 9.625000e+01
nan nan 3.125000e+00 9.675000e+01
nan nan 3.125000e+00 9.725000e+01
nan nan 3.125000e+00 9.775000e+01
nan nan 3.125000e+00 9.825000e+01
nan nan 3.125000e+00 9.875000e+01
nan nan 3.125000e+00 9.925000e+01
nan nan 3.125000e+00 9.975000e+01
5.666393e-05 1.034598e-05 3.175000e+00 5.025000e+01
5.546787e-05 1.012756e-05 3.175000e+00 5.075000e+01
5.764369e-05 1.052473e-05 3.175000e+00 5.125000e+01
4.972852e-05 9.753013e-06 3.175000e+00 5.175000e+01
5.765381e-05 1.035543e-05 3.175000e+00 5.225000e+01
3.984114e-05 8.494507e-06 3.175000e+00 5.275000e+01
5.205472e-05 9.504327e-06 3.175000e+00 5.325000e+01
6.319767e-05 1.025240e-05 3.175000e+00 5.375000e+01
4.670660e-05 8.673559e-06 3.175000e+00 5.425000e+01
4.397135e-05 8.623811e-06 3.175000e+00 5.475000e+01
3.736676e-05 8.154572e-06 3.175000e+00 5.525000e+01
4.999435e-05 9.284191e-06 3.175000e+00 5.575000e+01
4.046579e-05 8.260329e-06 3.175000e+00 5.625000e+01
5.772275e-05 9.757367e-06 3.175000e+00 5.675000e+01
4.775682e-05 8.719486e-06 3.175000e+00 5.725000e+01
4.517853e-05 8.538267e-06 3.175000e+00 5.775000e+01
5.140380e-05 9.385361e-06 3.175000e+00 5.825000e+01
5.330631e-05 9.423675e-06 3.175000e+00 5.875000e+01
3.561093e-05 7.592631e-06 3.175000e+00 5.925000e+01
4.276791e-05 8.231053e-06 3.175000e+00 5.975000e+01
5.307095e-05 9.102003e-06 3.175000e+00 6.025000e+01
5.380146e-05 9.365951e-06 3.175000e+00 6.075000e+01
5.493394e-05 9.421410e-06 3.175000e+00 6.125000e+01
4.142585e-05 8.124572e-06 3.175000e+00 6.175000e+01
4.037829e-05 7.918982e-06 3.175000e+00 6.225000e+01
3.943693e-05 7.887652e-06 3.175000e+00 6.275000e+01
3.800565e-05 7.924998e-06 3.175000e+00 6.325000e+01
2.792819e-05 6.773805e-06 3.175000e+00 6.375000e+01
2.711083e-05 6.575569e-06 3.175000e+00 6.425000e+01
3.585370e-05 7.644259e-06 3.175000e+00 6.475000e+01
2.409211e-05 6.439014e-06 3.175000e+00 6.525000e+01
3.231438e-05 7.413595e-06 3.175000e+00 6.575000e+01
2.634586e-05 6.586632e-06 3.175000e+00 6.625000e+01
2.646232e-05 6.832630e-06 3.175000e+00 6.675000e+01
3.047369e-05 7.391185e-06 3.175000e+00 6.725000e+01
2.712699e-05 6.781928e-06 3.175000e+00 6.775000e+01
3.075627e-05 7.459686e-06 3.175000e+00 6.825000e+01
